[2026-04-22 10:17:00] [INFO] === STEP 4: Add YAML Frontmatter ===
[2026-04-22 10:17:00] [INFO] Processing 1016 MD files...
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch12s04.md (1544 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch03s02.md (7385 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch01s09.md (400 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch07s04.md (684 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch01s06.md (6033 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/multiprogramchapter.md (836 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch20s04.md (1088 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch08s01.md (920 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch02s01.md (6634 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch20s05.md (1458 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch04s01.md (894 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch12s01.md (536 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/preface.md (915 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/pr01s03.md (381 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/interfacechapter.md (680 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch15s04.md (3262 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch18s01.md (1015 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/unix_koans.md (144 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch15s07.md (376 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch08s02.md (7850 words)
